Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,.gitignore,de9f71d01c174375e62d89319037d1659ed8e2a1,2014-05-02 11:42:26-07:00,.gitignore,.gitignore,,,,,101,7,,,added,15,2019-09-12 14:34:55-04:00,3ca0d99ce963d4f65eaced00e19a73c7b20ad149
2,LICENSE,de9f71d01c174375e62d89319037d1659ed8e2a1,2014-05-02 11:42:26-07:00,LICENSE,LICENSE,,,,,543,342,,,added,3,2018-02-10 16:13:51-08:00,1e1154cd8d881002c83becb93767422b24fe9dfd
3,README.md,de9f71d01c174375e62d89319037d1659ed8e2a1,2014-05-02 11:42:26-07:00,README.md,README.md,,,,,870,759,,,added,164,2020-10-07 14:32:10-07:00,7a57d2f37184ea4cd3b52a590c945197b084f66d
5,examples/bz_nr.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,examples/bz_nr.py,examples/mo_integrals.py,/2014-11-21 15:21:59-05:00,/4479c53fcc002ff155c47a53bef8de30b70965ed,,,85,28,,,added,6,2014-10-24 10:04:47-04:00,f686d65e1b9da51227944cc35b958831b00c6038
6,gto/Dmatrix.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/Dmatrix.py,symm/Dmatrix.py,/2014-08-17 10:48:39-04:00,/6b10e1098d7f6d99adbf5589dc04302656decaab,,,89,1,,,added,1,2014-06-26 16:49:55-04:00,0573b1271bbf8bdb05b63182fd876b583573a9c9
7,gto/__init__.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/__init__.py,pyscf/gto/__init__.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,28,12,,,added,10,2016-01-19 20:00:31-05:00,4a6f3bc9a3b3fee74e65fb621d2274aa74711206
8,gto/basis/__init__.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/__init__.py,pyscf/gto/basis/__init__.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,672,348,,,added,27,2017-06-10 00:12:21-07:00,b628de7ce79f937a81552ee9cbfbb70dd12b7521
9,gto/basis/ano.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/ano.py,gto/basis/ano.py,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,4030,4030,,,added/removed,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
10,gto/basis/cc_pv5z.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/cc_pv5z.py,gto/basis/cc_pv5z.py,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,2520,2520,,,added/removed,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
11,gto/basis/cc_pvdz.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/cc_pvdz.py,gto/basis/cc_pvdz.py,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,2690,2690,,,added/removed,2,2014-08-20 13:28:55-04:00,b9907727cc7f8b4531f7b4f5b91290ce8bb522f4
12,gto/basis/cc_pvqz.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/cc_pvqz.py,gto/basis/cc_pvqz.py,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,4225,4225,,,added/removed,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
13,gto/basis/cc_pvtz.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/cc_pvtz.py,gto/basis/cc_pvtz.py,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,3413,3413,,,added/removed,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
14,gto/basis/dyall_dz.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/dyall_dz.py,pyscf/gto/basis/dyall_dz.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,433,174,,,added,2,2014-12-25 01:45:15-05:00,5c8e64e816596c1b064d43b2268f61f2796a2f16
15,gto/basis/dyall_qz.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/dyall_qz.py,pyscf/gto/basis/dyall_qz.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,349,172,,,added,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
16,gto/basis/dyall_tz.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/dyall_tz.py,pyscf/gto/basis/dyall_tz.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,680,314,,,added,2,2014-12-25 01:45:15-05:00,5c8e64e816596c1b064d43b2268f61f2796a2f16
17,gto/basis/faegre_dz.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/faegre_dz.py,pyscf/gto/basis/faegre_dz.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,70,36,,,added,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
18,gto/basis/format_basis.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/format_basis.py,gto/basis/format_basis.py,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,100,100,,,added/removed,2,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
19,gto/basis/iglo.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/17cd775ddb094a388e7e6a9a0f69b99d74a09a30,/2014-08-17 18:00:15-04:00,35,35,,,added/removed,0,,
20,gto/basis/minao.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/minao.py,pyscf/gto/basis/minao.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,2242,140,,,added,3,2015-08-06 01:01:42-04:00,276cb41935b4b3897a2891d2f5b793ac88304cf0
21,gto/basis/p3_21g.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/p3_21g.py,gto/basis/p3_21g.py,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,1186,1186,,,added/removed,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
22,gto/basis/p4_31g.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/p4_31g.py,pyscf/gto/basis/p4_31g.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,282,28,,,added,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
23,gto/basis/p6_311g.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/p6_311g.py,gto/basis/p6_311g.py,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,2684,2684,,,added/removed,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
24,gto/basis/p6_31g.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/p6_31g.py,gto/basis/p6_31g.py,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,1203,1203,,,added/removed,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
25,gto/basis/sto_3g.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/sto_3g.py,gto/basis/sto_3g.py,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,1051,1051,,,added/removed,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
26,gto/basis/sto_6g.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/basis/sto_6g.py,gto/basis/sto_6g.py,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,1580,1580,,,added/removed,1,2014-08-17 18:00:15-04:00,17cd775ddb094a388e7e6a9a0f69b99d74a09a30
27,gto/basis/test_ccpvdz.in,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,45,45,,,added/removed,0,,
28,gto/mole.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/mole.py,gto/mole.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,5246,2519,,,added,213,2017-08-07 15:20:30-07:00,66147f586de14f153a0c9f45c2ac2952eab080f3
29,gto/moleintor.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,gto/moleintor.py,pyscf/gto/moleintor.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,1607,1035,,,added,56,2017-06-07 00:34:12-07:00,f93b5b7ee0174cb023de4554a07b425a746f3681
30,lib/CMakeLists.txt,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/CMakeLists.txt,pyscf/lib/CMakeLists.txt,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,339,183,,,added,87,2017-07-01 02:36:18-06:00,3254541de7e460a3458946d8b49150ad04aa9f9c
31,lib/__init__.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/__init__.py,pyscf/lib/__init__.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,34,13,,,added,11,2017-03-30 14:42:09-07:00,32c28115e84e0c490e48d19d68d4adb0bbc02a30
32,lib/ao2mo/CMakeLists.txt,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/ao2mo/CMakeLists.txt,pyscf/lib/ao2mo/CMakeLists.txt,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,29,19,,,added,11,2015-05-15 15:00:46-04:00,8992cdab9ae03da948554b81460f110d2793fe5b
33,lib/ao2mo/_ao2mo.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/ao2mo/_ao2mo.c,lib/ao2mo/_ao2mo.c,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,17647,17647,,,added/removed,5,2014-08-21 12:32:23-04:00,a39cb8560b905b1bc351371c033da640c2bdf939
34,lib/ao2mo/_ao2mo.pyx,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/ao2mo/_ao2mo.pyx,lib/ao2mo/_ao2mo.pyx,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,489,489,,,added/removed,5,2014-08-21 12:32:23-04:00,a39cb8560b905b1bc351371c033da640c2bdf939
35,lib/ao2mo/ci_misc_helper.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/ao2mo/ci_misc_helper.c,lib/ao2mo/ao2mo_helper.c,/2014-05-08 20:56:15-04:00,/f53aa17d91b53020ac7946972ca1d995fb8ec237,,,112,14,,,added,0,,
36,lib/ao2mo/int2e_ao2mo.h,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/de9abd6b35b386df5bcbc76349184e8e15106a51,/2014-05-09 16:36:25-04:00,44,44,,,added/removed,0,,
37,lib/ao2mo/int2e_sph_o3.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/ao2mo/int2e_sph_o3.c,lib/vhf/int2e_sph_o3.c,/2014-05-09 16:36:25-04:00,/de9abd6b35b386df5bcbc76349184e8e15106a51,,,85,4,,,added,1,2014-05-08 20:56:15-04:00,f53aa17d91b53020ac7946972ca1d995fb8ec237
38,lib/ao2mo/int2e_sph_o4.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/ao2mo/int2e_sph_o4.c,lib/vhf/int2e_sph_o4.c,/2014-05-09 16:36:25-04:00,/de9abd6b35b386df5bcbc76349184e8e15106a51,,,144,5,,,added,1,2014-05-08 20:56:15-04:00,f53aa17d91b53020ac7946972ca1d995fb8ec237
39,lib/ao2mo/misc.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/ao2mo/misc.c,lib/ao2mo/misc.c,,,/bd5edb3175eb030b6ba08048d2d0e0c8cf9d3bfa,/2014-10-17 11:09:24-04:00,29,29,,,added/removed,1,2014-10-02 01:01:47-04:00,2dca27cd1f322eb33f4c52955d20801dd059b8ce
40,lib/ao2mo/misc.h,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/ao2mo/misc.h,lib/ao2mo/misc.h,,,/bd5edb3175eb030b6ba08048d2d0e0c8cf9d3bfa,/2014-10-17 11:09:24-04:00,12,12,,,added/removed,1,2014-10-02 01:01:47-04:00,2dca27cd1f322eb33f4c52955d20801dd059b8ce
41,lib/config.h.in,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/config.h.in,pyscf/lib/config.h.in,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,18,9,,,added,5,2016-12-11 22:34:05-08:00,d8692797f7dd1546efbd12e46d9c5fc21bd7a359
42,lib/logger.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/logger.py,pyscf/lib/logger.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,314,112,,,added,21,2017-06-13 11:31:57-07:00,aca270a770b23344abf34e6f663caf1ce69bd1e5
43,lib/misc.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/misc.py,pyscf/lib/misc.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,641,138,,,added,40,2017-05-22 15:41:01+02:00,43412fdcc9d8b701e285d44fd8d5b126ae436a2a
44,lib/parameters.py,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/parameters.py,pyscf/lib/parameters.py,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,333,111,,,added,15,2017-07-03 00:06:40-07:00,42e8ccfe6d045f4ddc608a0dfe0e09231fc6c49a
45,lib/pycint/CMakeLists.txt,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/pycint/CMakeLists.txt,lib/pycint/CMakeLists.txt,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,21,21,,,added/removed,1,2014-05-03 13:23:51-04:00,36632bbb2062757b9b09b8b9b9a1f2bf01a68ca8
46,lib/pycint/cint_const_mod.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,67,67,,,added/removed,0,,
47,lib/pycint/cint_interface.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,77,77,,,added/removed,0,,
48,lib/pycint/dkb_vhf.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,590,590,,,added/removed,0,,
49,lib/pycint/dkb_vhf_coul.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,40,40,,,added/removed,0,,
50,lib/pycint/dkb_vhf_coul_O00.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,344,344,,,added/removed,0,,
51,lib/pycint/dkb_vhf_coul_O01.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,319,319,,,added/removed,0,,
52,lib/pycint/dkb_vhf_coul_O02.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,298,298,,,added/removed,0,,
53,lib/pycint/hf_block_mod.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,2328,2328,,,added/removed,0,,
54,lib/pycint/misc.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,81,81,,,added/removed,0,,
55,lib/pycint/nr_vhf.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,196,196,,,added/removed,0,,
56,lib/pycint/nr_vhf_O00.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,69,69,,,added/removed,0,,
57,lib/pycint/nr_vhf_coul.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,139,139,,,added/removed,0,,
58,lib/pycint/nr_vhf_grad_O00.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,69,69,,,added/removed,0,,
59,lib/pycint/nr_vhf_has_hs.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,221,221,,,added/removed,0,,
60,lib/pycint/nr_vhf_hs_hs.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,477,477,,,added/removed,0,,
61,lib/pycint/nr_vhf_igiao.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,37,37,,,added/removed,0,,
62,lib/pycint/nr_vhf_igiao_O00.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,70,70,,,added/removed,0,,
63,lib/pycint/pycint.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/pycint/pycint.c,lib/pycint/pycint.c,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,328,329,,,added/removed,2,2014-05-08 20:56:15-04:00,f53aa17d91b53020ac7946972ca1d995fb8ec237
64,lib/pycint/pycint_reg.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,535,535,,,added/removed,0,,
65,lib/pycint/r_vhf_tas_ts.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,729,729,,,added/removed,0,,
66,lib/pycint/r_vhf_ts_ts.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,1474,1474,,,added/removed,0,,
67,lib/pycint/rkb_giao_vhf.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,95,95,,,added/removed,0,,
68,lib/pycint/rkb_giao_vhf_O00.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,385,385,,,added/removed,0,,
69,lib/pycint/rkb_vhf.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,330,330,,,added/removed,0,,
70,lib/pycint/rkb_vhf_coul.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,517,517,,,added/removed,0,,
71,lib/pycint/rkb_vhf_coul_O00.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,100,100,,,added/removed,0,,
72,lib/pycint/rkb_vhf_coul_grad_O00.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,117,117,,,added/removed,0,,
73,lib/pycint/rkb_vhf_gaunt.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,224,224,,,added/removed,0,,
74,lib/pycint/rkb_vhf_gaunt_O00.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,341,341,,,added/removed,0,,
75,lib/pycint/rmb_vhf.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,332,332,,,added/removed,0,,
76,lib/pycint/rmb_vhf_O00.F90,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,781,781,,,added/removed,0,,
77,lib/pycint/swig_numpy.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,3933,3933,,,added/removed,0,,
78,lib/pycint/swig_numpy.h,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,1325,1325,,,added/removed,0,,
79,lib/pycint/vhf_drv.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/pycint/vhf_drv.c,lib/pycint/vhf_drv.c,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,291,291,,,added/removed,3,2014-06-09 19:31:31-04:00,27d9b56807582f7d31cdb4d9223a6ff0066482f9
80,lib/pycint/vhf_drv.h,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,207,207,,,added/removed,0,,
82,lib/vhf/CMakeLists.txt,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/vhf/CMakeLists.txt,pyscf/lib/vhf/CMakeLists.txt,/2017-07-05 15:24:40-07:00,/25b30e616d59f3c807e5a2173f7ec21525240648,,,41,29,,,added,17,2016-01-19 20:00:31-05:00,4a6f3bc9a3b3fee74e65fb621d2274aa74711206
83,lib/vhf/_vhf.c,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/vhf/_vhf.c,lib/vhf/_vhf.c,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,12720,12720,,,added/removed,8,2014-08-17 10:48:39-04:00,6b10e1098d7f6d99adbf5589dc04302656decaab
84,lib/vhf/_vhf.pyx,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,lib/vhf/_vhf.pyx,lib/vhf/_vhf.pyx,,,/2dca27cd1f322eb33f4c52955d20801dd059b8ce,/2014-10-02 01:01:47-04:00,262,262,,,added/removed,7,2014-08-17 10:48:39-04:00,6b10e1098d7f6d99adbf5589dc04302656decaab
85,lib/vhf/config.h.in,d3708d3a2f3a75093baa593b59e1fd3f1fdfc186,2014-05-02 22:14:29-04:00,,,,,/6b10e1098d7f6d99adbf5589dc04302656decaab,/2014-08-17 10:48:39-04:00,1,1,,,added/removed,0,,
