Id,FileName,AddedHash,CreatedAt,RenamedFrom,RenamedTo,RenamedAt,RenamedHash,RemovedHash,RemovedDate,Added,Removed,OldPath,NewPath,status,modifications,LastModifiedAt,LastModifiedHash
1,LICENSE,6e121f1137e0457cef97f7e3084e66ba025482c1,2017-10-24 22:39:17+09:00,LICENSE,LICENSE,,,,,427,31,,,added,3,2018-05-04 22:12:42+09:00,58b488298334fb4b97df71a8ffce04f788a99d0b
2,README.md,6e121f1137e0457cef97f7e3084e66ba025482c1,2017-10-24 22:39:17+09:00,README.md,README.md,,,,,515,383,,,added,45,2019-05-05 12:20:09+09:00,485dd7f832936e8fe11d70d07e32eea0187baa4b
4,python/annealer/annealer.py,8fa01eabf1c23cfcf2c55831d14c27393e7654f7,2017-10-24 22:44:08+09:00,python/annealer/annealer.py,python/annealer/annealer.py,,,/f3f852d762582728c15405e760396db5bd9eac34,/2017-10-28 22:28:16+09:00,190,190,,,added/removed,6,2017-10-28 19:38:41+09:00,3e84b9d53dbc9fe395c5a4c26ad6f509adee0c24
5,python/annealer/sample.py,8fa01eabf1c23cfcf2c55831d14c27393e7654f7,2017-10-24 22:44:08+09:00,python/annealer/sample.py,python/annealer/example/sample.py,/2017-10-27 05:25:51+09:00,/ce4407eb8dcf14c5cc413871283517ab17ca74de,,,41,6,,,added,4,2017-10-27 05:21:19+09:00,d451b751d10179249a2c4c1d3a16197acc55ee43
6,python/annealer/setup.py,8fa01eabf1c23cfcf2c55831d14c27393e7654f7,2017-10-24 22:44:08+09:00,python/annealer/setup.py,python/annealer/setup.py,,,/355e808287082bc5967124767cd7ac9973db3a99,/2017-12-17 14:52:18+09:00,42,42,,,added/removed,4,2017-10-29 08:44:23+09:00,81bcaa11e8e08ead6d227704d768255eb560a1c3
14,python/annealer/native.c,d451b751d10179249a2c4c1d3a16197acc55ee43,2017-10-27 05:21:19+09:00,python/annealer/native.c,python/annealer/src/native.c,/2017-10-29 08:44:23+09:00,/81bcaa11e8e08ead6d227704d768255eb560a1c3,,,273,13,,,added,2,2017-10-28 19:38:41+09:00,3e84b9d53dbc9fe395c5a4c26ad6f509adee0c24
5,python/annealer/example/sample.py,8fa01eabf1c23cfcf2c55831d14c27393e7654f7,2017-10-24 22:44:08+09:00,python/annealer/example/sample.py,python/example/sample.py,/2017-10-27 05:25:51+09:00/2017-10-28 22:28:16+09:00,/ce4407eb8dcf14c5cc413871283517ab17ca74de/f3f852d762582728c15405e760396db5bd9eac34,,,54,15,,,added/renamed,5,2017-10-28 18:39:59+09:00,209f06e6b4c02409a8b5052fe90a0525bc0cae66
24,python/annealer/src/build.py,3e84b9d53dbc9fe395c5a4c26ad6f509adee0c24,2017-10-28 19:38:41+09:00,python/annealer/src/build.py,python/annealer/src/build.py,,,/355e808287082bc5967124767cd7ac9973db3a99,/2017-12-17 14:52:18+09:00,27,27,,,added/removed,2,2017-10-29 10:21:30+09:00,bf4da71831a7bd9d067e082987d0338f3a9f7727
25,python/annealer/src/mt19937ar.c,3e84b9d53dbc9fe395c5a4c26ad6f509adee0c24,2017-10-28 19:38:41+09:00,,,,,/355e808287082bc5967124767cd7ac9973db3a99,/2017-12-17 14:52:18+09:00,193,193,,,added/removed,0,,
27,python/annealer/simple_annealer.py,f3f852d762582728c15405e760396db5bd9eac34,2017-10-28 22:28:16+09:00,python/annealer/simple_annealer.py,python/annealer/simple_annealer.py,,,/13e442a447ba927ee9d4e0d258848419a9f9b1d9,/2017-11-29 19:06:47+09:00,101,101,,,added/removed,2,2017-11-26 01:44:54+09:00,4b4ab5cb36271034ec88c434a8059bc00164ca4f
28,python/annealer/simple_native_annealer.py,f3f852d762582728c15405e760396db5bd9eac34,2017-10-28 22:28:16+09:00,python/annealer/simple_native_annealer.py,python/cpu/dense_graph_annealer.py,/2017-12-01 18:12:24+09:00,/09e6caf157125032de0e3e23db26579cb81e3cab,,,42,0,,,added,0,,
5,python/example/sample.py,8fa01eabf1c23cfcf2c55831d14c27393e7654f7,2017-10-24 22:44:08+09:00,python/example/sample.py,python/example/dense_graph.py,/2017-10-27 05:25:51+09:00/2017-10-28 22:28:16+09:00/2017-12-29 11:03:10+09:00,/ce4407eb8dcf14c5cc413871283517ab17ca74de/f3f852d762582728c15405e760396db5bd9eac34/486f34c6f6e0b96ba5b4320049d35bbe66d89efe,,,56,17,,,added/renamed/renamed,6,2017-10-28 22:29:12+09:00,15a03944cd9fdbb1414505eec5186861e85a111b
30,python/example/sample2.py,dc3eb786997f88451e92c715e2538e5857fcdaa6,2017-10-29 08:36:29+09:00,python/example/sample2.py,python/example/sample2.py,,,/936bb867adbb08a4b72addab695c2c6fc712b1be,/2017-12-29 14:18:03+09:00,46,46,,,added/removed,2,2017-12-29 11:04:51+09:00,4e4f33c72ccbf35e7d8ae6e3726a00201f1a9317
14,python/annealer/src/native.c,d451b751d10179249a2c4c1d3a16197acc55ee43,2017-10-27 05:21:19+09:00,python/annealer/src/native.c,python/annealer/src/native.c,/2017-10-29 08:44:23+09:00,/81bcaa11e8e08ead6d227704d768255eb560a1c3,/355e808287082bc5967124767cd7ac9973db3a99,/2017-12-17 14:52:18+09:00,281,281,,,added/renamed/removed,4,2017-11-19 23:26:41+09:00,3a373832d1acaa4cd2bab5e68ecfecf81716b5ed
36,python/build.sh,8bcd2e989cf8c5cec08e6d9153fdb4e9cd4ddad4,2017-10-29 09:44:10+09:00,,,,,/2ded75b7407785dab518a85f79d289fb6f437289,/2017-12-17 14:52:54+09:00,4,4,,,added/removed,0,,
37,python/run.sh,8bcd2e989cf8c5cec08e6d9153fdb4e9cd4ddad4,2017-10-29 09:44:10+09:00,python/run.sh,sqaodpy/run.sh,/2018-02-25 20:09:02+09:00,/8728a10499e3f6df218e44467f382356c9e98dcd,,,3,0,,,added,0,,
43,python/rbm/rbm_annealer.py,59571fff9edd633d20e95f3be5115935098e48b9,2017-11-26 01:46:46+09:00,python/rbm/rbm_annealer.py,python/py/rbm_annealer.py,/2017-11-29 19:10:04+09:00,/4b9b5b3da279e9a17ddf5e6f1f0c903ecc80fb28,,,250,87,,,added,5,2017-11-27 22:09:48+09:00,fc1dbd9e060bcfeb189390db2ce579e3ed707219
48,python/rbm/rbm_bf_solver.py,588875ce645b46bb4a48fa6597358510653ecbd1,2017-11-26 18:56:04+09:00,python/rbm/rbm_bf_solver.py,python/py/rbm_bf_solver.py,/2017-11-29 19:10:04+09:00,/4b9b5b3da279e9a17ddf5e6f1f0c903ecc80fb28,,,164,17,,,added,2,2017-11-27 22:10:09+09:00,a81387f3e96c7b70654e929d08bbbd7f6797ed37
49,python/rbm/doc/RBM.docx,85c6d8505d136f99ee5ee93915e4a0e045d0b1ee,2017-11-26 19:05:21+09:00,python/rbm/doc/RBM.docx,python/doc/RBM.docx,2017-11-26 19:05:21+09:00/2017-11-26 19:05:21+09:00,85c6d8505d136f99ee5ee93915e4a0e045d0b1ee/85c6d8505d136f99ee5ee93915e4a0e045d0b1ee,,,0,0,python/rbm/doc/RBM.docx,python/doc/RBM.docx,added->renamed,0,,
49,python/doc/RBM.docx,85c6d8505d136f99ee5ee93915e4a0e045d0b1ee,2017-11-26 19:05:21+09:00,python/doc/RBM.docx,sqaodpy/doc/RBM.docx,2017-11-26 19:05:21+09:00/2017-11-26 19:05:21+09:00/2018-02-25 20:09:02+09:00,85c6d8505d136f99ee5ee93915e4a0e045d0b1ee/85c6d8505d136f99ee5ee93915e4a0e045d0b1ee/8728a10499e3f6df218e44467f382356c9e98dcd,,,0,0,python/rbm/doc/RBM.docx,python/doc/RBM.docx,added->renamed/renamed,0,,
51,python/tests/test_rbm.py,85c6d8505d136f99ee5ee93915e4a0e045d0b1ee,2017-11-26 19:05:21+09:00,python/tests/test_rbm.py,python/tests/test_biparate_graph.py,/2017-12-17 14:24:25+09:00,/0a15b56814aa40991266f72955ad9cbfc418e973,,,123,38,,,added,3,2017-12-01 18:12:24+09:00,09e6caf157125032de0e3e23db26579cb81e3cab
55,python/rbm/rbm.py,bee6c2fd8a62a98a1cd0a84d471cd20d12750083,2017-11-26 23:07:19+09:00,,,,,/76e388c12e39af2de50a7cc76af22f84c5384b72,/2017-11-29 19:20:04+09:00,26,26,,,added/removed,0,,
56,.gitignore,c88a9e838324814d42a1376c2f497248384b1634,2017-11-27 22:09:29+09:00,.gitignore,.gitignore,,,,,70,41,,,added,14,2018-11-03 17:38:48+09:00,5b7123a56971403654267e7c0ccaf83e4908020c
59,python/annealer/__init__.py,13e442a447ba927ee9d4e0d258848419a9f9b1d9,2017-11-29 19:06:47+09:00,python/annealer/__init__.py,,,,2017-11-29 19:06:47+09:00,13e442a447ba927ee9d4e0d258848419a9f9b1d9,0,5,python/annealer/__init__.py,,added->removed,0,,
60,python/py/__init__.py,13e442a447ba927ee9d4e0d258848419a9f9b1d9,2017-11-29 19:06:47+09:00,python/py/__init__.py,python/sqaod/py/__init__.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,12,9,,,added,3,2017-12-17 13:19:09+09:00,52499676ad8fac14a1a7829b82f43201d83ad4ba
61,python/py/dense_graph_annealer.py,13e442a447ba927ee9d4e0d258848419a9f9b1d9,2017-11-29 19:06:47+09:00,python/py/dense_graph_annealer.py,python/sqaod/py/dense_graph_annealer.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,208,79,,,added,4,2017-12-17 13:19:09+09:00,52499676ad8fac14a1a7829b82f43201d83ad4ba
62,python/py/dense_graph_traits.py,13e442a447ba927ee9d4e0d258848419a9f9b1d9,2017-11-29 19:06:47+09:00,,,,,/09e6caf157125032de0e3e23db26579cb81e3cab,/2017-12-01 18:12:24+09:00,40,40,,,added/removed,0,,
63,python/utils/__init__.py,13e442a447ba927ee9d4e0d258848419a9f9b1d9,2017-11-29 19:06:47+09:00,python/utils/__init__.py,python/sqaod/utils/__init__.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,1,0,,,added,0,,
64,python/utils/utils.py,13e442a447ba927ee9d4e0d258848419a9f9b1d9,2017-11-29 19:06:47+09:00,python/utils/utils.py,python/sqaod/utils/utils.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,79,5,,,added,6,2017-12-17 01:38:11+09:00,76241c52270219de115e238140f69ac009d4fb2b
65,python/tests/test_py.py,a9e24d16ae02eb4058d763a8acce1b2f223442b6,2017-11-29 19:07:21+09:00,python/tests/test_py.py,sqaodpy/tests/test_py.py,/2018-02-25 20:09:02+09:00,/8728a10499e3f6df218e44467f382356c9e98dcd,,,113,32,,,added,3,2017-12-18 19:44:11+09:00,7f40149508ba438336e7721d811cee3550c094cc
66,python/tests/test_utils.py,a9e24d16ae02eb4058d763a8acce1b2f223442b6,2017-11-29 19:07:21+09:00,python/tests/test_utils.py,sqaodpy/tests/test_utils.py,/2018-02-25 20:09:02+09:00,/8728a10499e3f6df218e44467f382356c9e98dcd,,,26,10,,,added,3,2017-12-18 19:44:11+09:00,7f40149508ba438336e7721d811cee3550c094cc
43,python/py/rbm_annealer.py,59571fff9edd633d20e95f3be5115935098e48b9,2017-11-26 01:46:46+09:00,python/py/rbm_annealer.py,python/py/rbm_annealer.py,/2017-11-29 19:10:04+09:00,/4b9b5b3da279e9a17ddf5e6f1f0c903ecc80fb28,/76241c52270219de115e238140f69ac009d4fb2b,/2017-12-17 01:38:11+09:00,254,254,,,added/renamed/removed,6,2017-12-01 18:12:24+09:00,09e6caf157125032de0e3e23db26579cb81e3cab
48,python/py/rbm_bf_solver.py,588875ce645b46bb4a48fa6597358510653ecbd1,2017-11-26 18:56:04+09:00,python/py/rbm_bf_solver.py,python/py/rbm_bf_solver.py,/2017-11-29 19:10:04+09:00,/4b9b5b3da279e9a17ddf5e6f1f0c903ecc80fb28,/76241c52270219de115e238140f69ac009d4fb2b,/2017-12-17 01:38:11+09:00,169,169,,,added/renamed/removed,3,2017-12-01 18:12:24+09:00,09e6caf157125032de0e3e23db26579cb81e3cab
28,python/cpu/dense_graph_annealer.py,f3f852d762582728c15405e760396db5bd9eac34,2017-10-28 22:28:16+09:00,python/cpu/dense_graph_annealer.py,python/sqaod/cpu/dense_graph_annealer.py,/2017-12-01 18:12:24+09:00/2017-12-17 13:29:33+09:00,/09e6caf157125032de0e3e23db26579cb81e3cab/9f92280e88e1388409c3fa9550df947f2032624b,,,180,69,,,added/renamed,2,2017-12-16 17:41:50+09:00,c57da156fb253897f702ed4ba0433227406bbf7a
73,python/py/dense_graph_bf_solver.py,09e6caf157125032de0e3e23db26579cb81e3cab,2017-12-01 18:12:24+09:00,python/py/dense_graph_bf_solver.py,python/sqaod/py/dense_graph_bf_solver.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,150,59,,,added,2,2017-12-17 13:19:09+09:00,52499676ad8fac14a1a7829b82f43201d83ad4ba
76,python/py/solver_traits.py,09e6caf157125032de0e3e23db26579cb81e3cab,2017-12-01 18:12:24+09:00,python/py/solver_traits.py,python/sqaod/py/solver_traits.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,103,26,,,added,3,2017-12-17 01:38:11+09:00,76241c52270219de115e238140f69ac009d4fb2b
77,python/py/tags.py,09e6caf157125032de0e3e23db26579cb81e3cab,2017-12-01 18:12:24+09:00,python/py/tags.py,python/sqaod/py/tags.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,38,14,,,added,2,2017-12-17 01:38:11+09:00,76241c52270219de115e238140f69ac009d4fb2b
86,python/cpu/solver_traits.py,e661a281ee6957f41718e1439c30b815e7d88169,2017-12-03 21:30:57+09:00,python/cpu/solver_traits.py,python/sqaod/cpu/solver_traits.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,439,78,,,added,3,2017-12-16 17:41:50+09:00,c57da156fb253897f702ed4ba0433227406bbf7a
87,python/cpu/src/Makefile,e661a281ee6957f41718e1439c30b815e7d88169,2017-12-03 21:30:57+09:00,python/cpu/src/Makefile,python/sqaod/cpu/src/Makefile,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,44,5,,,added,2,2017-12-16 17:41:50+09:00,c57da156fb253897f702ed4ba0433227406bbf7a
88,python/cpu/src/cpu_native.cpp,e661a281ee6957f41718e1439c30b815e7d88169,2017-12-03 21:30:57+09:00,python/cpu/src/cpu_native.cpp,python/sqaod/cpu/src/cpu_native.cpp,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,596,144,,,added,3,2017-12-16 17:41:50+09:00,c57da156fb253897f702ed4ba0433227406bbf7a
89,python/cpu/src/setup.py,e661a281ee6957f41718e1439c30b815e7d88169,2017-12-03 21:30:57+09:00,python/cpu/src/setup.py,python/sqaod/cpu/src/setup.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,8,0,,,added,0,,
90,include/pyglue.h,54599f01c25ef184ce62b051b704aeabce05d7c2,2017-12-03 21:33:49+09:00,include/pyglue.h,libsqaod/include/pyglue.h,/2017-12-29 23:31:23+09:00,/2592ed9c7a957282e19ef6748b25d1046fd5c45d,,,229,39,,,added,3,2017-12-29 15:50:09+09:00,c0e61e12530868dfec7bbc33f3ad6bea368807f7
91,src/Makefile.am,54599f01c25ef184ce62b051b704aeabce05d7c2,2017-12-03 21:33:49+09:00,src/Makefile.am,libsqaod/Makefile.am,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,7,0,,,added,0,,
92,src/configure.ac,54599f01c25ef184ce62b051b704aeabce05d7c2,2017-12-03 21:33:49+09:00,src/configure.ac,libsqaod/configure.ac,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,33,0,,,added,0,,
93,src/cpu/Makefile.am,54599f01c25ef184ce62b051b704aeabce05d7c2,2017-12-03 21:33:49+09:00,src/cpu/Makefile.am,libsqaod/cpu/Makefile.am,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,6,1,,,added,1,2017-12-16 17:38:25+09:00,09c87832cfa201289d04bdbe55aa2d958234450e
94,src/cpu/Traits.cpp,54599f01c25ef184ce62b051b704aeabce05d7c2,2017-12-03 21:33:49+09:00,src/cpu/Traits.cpp,libsqaod/cpu/Traits.cpp,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,417,129,,,added,3,2017-12-16 17:38:25+09:00,09c87832cfa201289d04bdbe55aa2d958234450e
95,src/cpu/Traits.h,54599f01c25ef184ce62b051b704aeabce05d7c2,2017-12-03 21:33:49+09:00,src/cpu/Traits.h,libsqaod/cpu/Traits.h,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,181,54,,,added,3,2017-12-16 17:38:25+09:00,09c87832cfa201289d04bdbe55aa2d958234450e
106,src/cpu/CPUDenseGraphAnnealer.cpp,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,src/cpu/CPUDenseGraphAnnealer.cpp,libsqaod/cpu/CPUDenseGraphAnnealer.cpp,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,108,0,,,added,0,,
107,src/cpu/CPUDenseGraphAnnealer.h,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,src/cpu/CPUDenseGraphAnnealer.h,libsqaod/cpu/CPUDenseGraphAnnealer.h,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,58,0,,,added,0,,
108,src/cpu/CPUDenseGraphBFSolver.cpp,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,src/cpu/CPUDenseGraphBFSolver.cpp,libsqaod/cpu/CPUDenseGraphBFSolver.cpp,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,83,0,,,added,0,,
109,src/cpu/CPUDenseGraphBFSolver.h,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,src/cpu/CPUDenseGraphBFSolver.h,libsqaod/cpu/CPUDenseGraphBFSolver.h,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,54,0,,,added,0,,
111,src/cpu/Random.cpp,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,src/cpu/Random.cpp,libsqaod/cpu/Random.cpp,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,209,0,,,added,0,,
112,src/cpu/Random.h,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,src/cpu/Random.h,libsqaod/cpu/Random.h,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,49,0,,,added,0,,
118,python/cpu/dense_graph_bf_solver.py,c57da156fb253897f702ed4ba0433227406bbf7a,2017-12-16 17:41:50+09:00,python/cpu/dense_graph_bf_solver.py,python/sqaod/cpu/dense_graph_bf_solver.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,66,0,,,added,0,,
121,python/cpu/src/cpu_dg_annealer.cpp,c57da156fb253897f702ed4ba0433227406bbf7a,2017-12-16 17:41:50+09:00,python/cpu/src/cpu_dg_annealer.cpp,python/sqaod/cpu/src/cpu_dg_annealer.cpp,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,322,0,,,added,0,,
122,python/cpu/src/cpu_dg_bf_solver.cpp,c57da156fb253897f702ed4ba0433227406bbf7a,2017-12-16 17:41:50+09:00,python/cpu/src/cpu_dg_bf_solver.cpp,python/sqaod/cpu/src/cpu_dg_bf_solver.cpp,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,275,0,,,added,0,,
124,python/py/bipartite_graph_annealer.py,76241c52270219de115e238140f69ac009d4fb2b,2017-12-17 01:38:11+09:00,python/py/bipartite_graph_annealer.py,python/sqaod/py/bipartite_graph_annealer.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,161,5,,,added,1,2017-12-17 13:19:09+09:00,52499676ad8fac14a1a7829b82f43201d83ad4ba
125,python/py/bipartite_graph_bf_solver.py,76241c52270219de115e238140f69ac009d4fb2b,2017-12-17 01:38:11+09:00,python/py/bipartite_graph_bf_solver.py,python/sqaod/py/bipartite_graph_bf_solver.py,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,,,148,12,,,added,1,2017-12-17 13:19:09+09:00,52499676ad8fac14a1a7829b82f43201d83ad4ba
91,libsqaod/Makefile.am,54599f01c25ef184ce62b051b704aeabce05d7c2,2017-12-03 21:33:49+09:00,libsqaod/Makefile.am,libsqaod/Makefile.am,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,/8728a10499e3f6df218e44467f382356c9e98dcd,/2018-02-25 20:09:02+09:00,39,39,,,added/renamed/removed,8,2018-02-22 00:21:19+09:00,e3249ed328b34f4d142552830ceea85ea1fef4c7
92,libsqaod/configure.ac,54599f01c25ef184ce62b051b704aeabce05d7c2,2017-12-03 21:33:49+09:00,libsqaod/configure.ac,sqaodc/configure.ac,/2017-12-17 13:29:33+09:00/2018-02-25 20:09:02+09:00,/9f92280e88e1388409c3fa9550df947f2032624b/8728a10499e3f6df218e44467f382356c9e98dcd,,,111,34,,,added/renamed,14,2018-02-22 08:06:57+09:00,5f90f8fbba118375141db806689ffbd983a7595d
106,libsqaod/cpu/CPUDenseGraphAnnealer.cpp,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,libsqaod/cpu/CPUDenseGraphAnnealer.cpp,sqaodc/cpu/CPUDenseGraphAnnealer.cpp,/2017-12-17 13:29:33+09:00/2018-02-25 20:09:02+09:00,/9f92280e88e1388409c3fa9550df947f2032624b/8728a10499e3f6df218e44467f382356c9e98dcd,,,474,237,,,added/renamed,21,2018-02-25 17:54:40+09:00,15a7d5e53bbaa04bd11cf29670d5b95078abf8c4
107,libsqaod/cpu/CPUDenseGraphAnnealer.h,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,libsqaod/cpu/CPUDenseGraphAnnealer.h,sqaodc/cpu/CPUDenseGraphAnnealer.h,/2017-12-17 13:29:33+09:00/2018-02-25 20:09:02+09:00,/9f92280e88e1388409c3fa9550df947f2032624b/8728a10499e3f6df218e44467f382356c9e98dcd,,,179,77,,,added/renamed,19,2018-02-25 17:54:40+09:00,15a7d5e53bbaa04bd11cf29670d5b95078abf8c4
108,libsqaod/cpu/CPUDenseGraphBFSolver.cpp,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,libsqaod/cpu/CPUDenseGraphBFSolver.cpp,libsqaod/cpu/CPUDenseGraphBFSearcher.cpp,/2017-12-17 13:29:33+09:00/2018-02-12 23:11:09+09:00,/9f92280e88e1388409c3fa9550df947f2032624b/7a8a580698233d1f5a6bd6b5db6e86e669cdd85e,,,159,69,,,added/renamed,15,2018-02-01 17:48:02+09:00,7d8af4caee952ad0ca44b318d251df51b75140b4
109,libsqaod/cpu/CPUDenseGraphBFSolver.h,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,libsqaod/cpu/CPUDenseGraphBFSolver.h,libsqaod/cpu/CPUDenseGraphBFSearcher.h,/2017-12-17 13:29:33+09:00/2018-02-12 23:11:09+09:00,/9f92280e88e1388409c3fa9550df947f2032624b/7a8a580698233d1f5a6bd6b5db6e86e669cdd85e,,,87,36,,,added/renamed,10,2018-02-04 00:13:21+09:00,7f383e416364fbe9f50635f4c873f7a6719f001d
93,libsqaod/cpu/Makefile.am,54599f01c25ef184ce62b051b704aeabce05d7c2,2017-12-03 21:33:49+09:00,libsqaod/cpu/Makefile.am,sqaodc/cpu/Makefile.am,/2017-12-17 13:29:33+09:00/2018-02-25 20:09:02+09:00,/9f92280e88e1388409c3fa9550df947f2032624b/8728a10499e3f6df218e44467f382356c9e98dcd,,,15,9,,,added/renamed,8,2018-02-23 09:12:08+09:00,5214c2fa40ea87764b4432d21d8bdef44df41556
111,libsqaod/cpu/Random.cpp,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,libsqaod/cpu/Random.cpp,libsqaod/cpu/CPURandom.cpp,/2017-12-17 13:29:33+09:00/2018-01-20 23:05:50+09:00,/9f92280e88e1388409c3fa9550df947f2032624b/197e153547873462fea816ca1a3a1c515ae23548,,,230,16,,,added/renamed,4,2018-01-10 01:52:32+09:00,e6f97dd93435c5d9f8582545075c371a8759a227
112,libsqaod/cpu/Random.h,09c87832cfa201289d04bdbe55aa2d958234450e,2017-12-16 17:38:25+09:00,libsqaod/cpu/Random.h,libsqaod/cpu/CPURandom.h,/2017-12-17 13:29:33+09:00/2018-01-20 23:05:50+09:00,/9f92280e88e1388409c3fa9550df947f2032624b/197e153547873462fea816ca1a3a1c515ae23548,,,61,7,,,added/renamed,4,2018-01-10 01:52:32+09:00,e6f97dd93435c5d9f8582545075c371a8759a227
94,libsqaod/cpu/Traits.cpp,54599f01c25ef184ce62b051b704aeabce05d7c2,2017-12-03 21:33:49+09:00,libsqaod/cpu/Traits.cpp,libsqaod/cpu/Traits.cpp,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,/a7facc15a0a7bf1312f722d10dc2ad332c32daa7,/2017-12-26 22:24:28+09:00,509,509,,,added/renamed/removed,7,2017-12-21 12:07:35+09:00,2c6c9a7cf4eac60c2510a87a3cb0168538a2fd46
95,libsqaod/cpu/Traits.h,54599f01c25ef184ce62b051b704aeabce05d7c2,2017-12-03 21:33:49+09:00,libsqaod/cpu/Traits.h,libsqaod/cpu/Traits.h,/2017-12-17 13:29:33+09:00,/9f92280e88e1388409c3fa9550df947f2032624b,/a7facc15a0a7bf1312f722d10dc2ad332c32daa7,/2017-12-26 22:24:28+09:00,247,247,,,added/renamed/removed,7,2017-12-21 12:07:35+09:00,2c6c9a7cf4eac60c2510a87a3cb0168538a2fd46
28,python/sqaod/cpu/dense_graph_annealer.py,f3f852d762582728c15405e760396db5bd9eac34,2017-10-28 22:28:16+09:00,python/sqaod/cpu/dense_graph_annealer.py,sqaodpy/sqaod/cpu/dense_graph_annealer.py,/2017-12-01 18:12:24+09:00/2017-12-17 13:29:33+09:00/2018-02-25 20:09:02+09:00,/09e6caf157125032de0e3e23db26579cb81e3cab/9f92280e88e1388409c3fa9550df947f2032624b/8728a10499e3f6df218e44467f382356c9e98dcd,,,315,179,,,added/renamed/renamed,16,2018-02-25 13:53:25+09:00,e301614fcea9a74e004a4de7e464627fda82a721
118,python/sqaod/cpu/dense_graph_bf_solver.py,c57da156fb253897f702ed4ba0433227406bbf7a,2017-12-16 17:41:50+09:00,python/sqaod/cpu/dense_graph_bf_solver.py,python/sqaod/cpu/dense_graph_bf_searcher.py,/2017-12-17 13:29:33+09:00/2018-02-12 23:57:56+09:00,/9f92280e88e1388409c3fa9550df947f2032624b/88cea7156bc8261262524c2eab17c203c974f34a,,,174,77,,,added/renamed,11,2018-01-31 19:38:35+09:00,c96eb5cd5d803b8e73b298a367c5c2159ae04abc
